age;temperature_minimum_average;pollen_Psylvestris;pollen_Puncinata;pollen_Bpendula;pollen_Cavellana;pollen_Qpetraea;real_charcoal;ignitions;charcoal_sum;charcoal_Psylvestris;charcoal_Puncinata;charcoal_Bpendula;charcoal_Cavellana;charcoal_Qpetraea 
-12870;-1.5409604549407998;523682;22048;15253;590;0;0.09;1;0;0;0;0;0;0
-12869;-1.2409604549408;527842;23253;16190;618;0;0.1;1;0;0;0;0;0;0
-12868;-2.0409604549408;519828;19954;13458;596;0;0.1;0;0;0;0;0;0;0
-12867;-2.5409604549408;513013;17460;11914;572;0;0.1;0;0;0;0;0;0;0
-12866;-2.0409604549408;520776;19587;13255;593;0;0.11;1;397.88300157940137;389.45;0;8.43300157940139;0;0
-12865;-1.2409604549408;529718;23260;15563;632;0;0.11;0;0;0;0;0;0;0
-12864;0.7590395450592;543823;30155;22693;660;0;0.12;1;9377.970858416233;9182.290117543364;0;195.68074087286988;0;0
-12863;-1.1409604549408;523123;24524;15815;652;0;0.12;1;0;0;0;0;0;0
-12862;0.05903954505920006;532489;28838;20009;668;0;0.13;0;0;0;0;0;0;0
-12861;-0.7409604549407999;528031;26253;17230;662;0;0.14;0;0;0;0;0;0;0
-12860;-1.2409604549408;524923;24308;15666;639;0;0.14;0;0;0;0;0;0;0
-12859;-2.0409604549408;517488;20837;13119;597;0;0.15;0;0;0;0;0;0;0
-12858;-2.3409604549407996;514823;19244;12093;573;0;0.15;0;0;0;0;0;0;0
-12857;-1.2409604549408;527672;24330;15055;585;0;0.16;0;0;0;0;0;0;0
-12856;-1.8409604549407999;522568;21795;13009;571;0;0.17;2;0;0;0;0;0;0
-12855;-1.8409604549407999;523401;21933;12879;549;0;0.17;0;0;0;0;0;0;0
-12854;-1.2409604549408;530876;24779;14654;567;0;0.18;0;0;0;0;0;0;0
-12853;-1.5409604549407998;528710;23667;13595;564;0;0.19;2;896.2523909141154;879.4069611251266;0;16.845429788988742;0;0
-12852;-1.9409604549408;524262;21877;12224;511;0;0.19;0;0;0;0;0;0;0
-12851;-0.9409604549407999;535630;26575;15241;525;0;0.2;0;0;0;0;0;0;0
-12850;-1.5409604549407998;531154;24093;13338;504;0;0.2;2;10365.012493766118;9709.8909095914;430.30821808032834;224.8133660943887;0;0
-12849;-2.2409604549408;514588;20454;11149;483;0;0.21;0;0;0;0;0;0;0
-12848;-1.6409604549408;522598;23328;12580;504;0;0.22;2;0;0;0;0;0;0
-12847;-1.9409604549408;520170;21977;11540;488;0;0.22;0;0;0;0;0;0;0
